what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1516669887389
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516670320401
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516670328453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670385855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670385985
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670386037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670386100
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670431685
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670434962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670436991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670439440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670439505
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516670439505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670624128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670626545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670626660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516670631191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1516670670200
